Algorithm,Problem,Exp,Indicator,Value,obj
3,3,9,3,0.568126169339441,3
3,3,10,1,31.7632543,3
3,3,10,2,0.193393681396088,3
3,3,10,3,0.565734889232675,3
3,3,11,1,30.0897122,3
3,3,11,2,0.19632798403568,3
3,3,11,3,0.560825234098603,3
3,3,12,1,30.2185185,3
3,3,12,2,0.190892405659164,3
3,3,12,3,0.573334099002126,3
3,3,13,1,30.9299304,3
3,3,13,2,0.192027291551863,3
3,3,13,3,0.570282166971488,3
3,3,14,1,30.3655267,3
3,3,14,2,0.197803300858882,3
3,3,14,3,0.559473758508935,3
3,3,15,1,30.7424637,3
3,3,15,2,0.19157511458369,3
3,3,15,3,0.570036844038848,3
3,3,16,1,29.8409138,3
3,3,16,2,0.199139317667599,3
3,3,16,3,0.556950258859886,3
3,3,17,1,30.8367385,3
3,3,17,2,0.192806169459444,3
3,3,17,3,0.566863957898623,3
3,3,18,1,30.12715,3
3,3,18,2,0.192510591188369,3
3,3,18,3,0.56772181105823,3
3,3,19,1,30.9053197,3
3,3,19,2,0.191457293491426,3
3,3,19,3,0.5708545398755,3
3,3,20,1,30.2737807,3
3,3,20,2,0.193486776132426,3
3,3,20,3,0.565516084462078,3
4,3,1,1,98.9954286999999,3
4,3,1,2,0.236869628824764,3
4,3,1,3,0.574628963577064,3
4,3,2,1,95.4363698,3
4,3,2,2,0.237767857239328,3
4,3,2,3,0.570409350887198,3
4,3,3,1,95.003797,3
4,3,3,2,0.230071215106659,3
4,3,3,3,0.572485319198449,3
4,3,4,1,91.2401423,3
4,3,4,2,0.23625841268013,3
4,3,4,3,0.57180682637314,3
4,3,5,1,107.809264,3
4,3,5,2,0.235044170102911,3
4,3,5,3,0.574946657369574,3
4,3,6,1,99.5220766,3
4,3,6,2,0.236282342433037,3
4,3,6,3,0.57424569991126,3
4,3,7,1,91.8089215,3
4,3,7,2,0.240684401821689,3
4,3,7,3,0.572549734958751,3
4,3,8,1,93.0789178999999,3
4,3,8,2,0.231484433309533,3
4,3,8,3,0.573964785337796,3
4,3,9,1,99.827243,3
4,3,9,2,0.239923925063866,3
4,3,9,3,0.572914205669428,3
4,3,10,1,99.3869995,3
4,3,10,2,0.233160866467982,3
4,3,10,3,0.574529664118241,3
4,3,11,1,97.2701542,3
4,3,11,2,0.245297682756616,3
4,3,11,3,0.572056485492259,3
4,3,12,1,101.3255449,3
4,3,12,2,0.237505456601547,3
4,3,12,3,0.572647713229923,3
4,3,13,1,100.1358207,3
4,3,13,2,0.232824247717657,3
4,3,13,3,0.572070127877641,3
4,3,14,1,96.7526275,3
4,3,14,2,0.234224808617216,3
4,3,14,3,0.574118629243625,3
4,3,15,1,97.7793675000001,3
4,3,15,2,0.234399416795455,3
4,3,15,3,0.572037832419992,3
4,3,16,1,95.880042,3
4,3,16,2,0.239761915689521,3
4,3,16,3,0.573098177489112,3
4,3,17,1,95.2180780000001,3
4,3,17,2,0.229757305332549,3
4,3,17,3,0.575061221437524,3
4,3,18,1,95.7832864,3
4,3,18,2,0.240358060914472,3
4,3,18,3,0.573425006863094,3
4,3,19,1,103.6744644,3
4,3,19,2,0.235429596264995,3
4,3,19,3,0.573303927730486,3
4,3,20,1,96.0944672,3
4,3,20,2,0.236785914124466,3
4,3,20,3,0.572602267091817,3
1,4,1,1,2.2236612,3
1,4,1,2,0.217333111868151,3
1,4,1,3,0.554011235040468,3
1,4,2,1,2.2490866,3
