Algorithm,Problem,Exp,obj,Indicator,value
MOEA/D,F3,17,7D,DeltaP,0.99996316868155
MOEA/D,F3,17,10D,DeltaP,0.9999682319067
MOEA/D,F3,17,15D,DeltaP,0.999105246038921
MOEA/D,F3,18,3D,DeltaP,0.99484399038375
MOEA/D,F3,18,5D,DeltaP,0.998894031069027
MOEA/D,F3,18,7D,DeltaP,0.999745649727127
MOEA/D,F3,18,10D,DeltaP,0.991141064869015
MOEA/D,F3,18,15D,DeltaP,0.99192263619161
MOEA/D,F3,19,3D,DeltaP,0.998099310342679
MOEA/D,F3,19,5D,DeltaP,0.99900759870322
MOEA/D,F3,19,7D,DeltaP,0.999837909727382
MOEA/D,F3,19,10D,DeltaP,0.99995814395025
MOEA/D,F3,19,15D,DeltaP,0.992191768588491
MOEA/D,F3,20,3D,DeltaP,0.991826994959553
MOEA/D,F3,20,5D,DeltaP,0.998920741626318
MOEA/D,F3,20,7D,DeltaP,0.99986485772161
MOEA/D,F3,20,10D,DeltaP,0.999951878521825
MOEA/D,F3,20,15D,DeltaP,0.999267720328916
MOEA/D,F4,1,3D,DeltaP,4.33543836497741e-07
MOEA/D,F4,1,5D,DeltaP,0.421251773996245
MOEA/D,F4,1,7D,DeltaP,0.784528452964653
MOEA/D,F4,1,10D,DeltaP,0.836893635696797
MOEA/D,F4,1,15D,DeltaP,0.927106854028224
MOEA/D,F4,2,3D,DeltaP,0
MOEA/D,F4,2,5D,DeltaP,1.39583712266411e-06
MOEA/D,F4,2,7D,DeltaP,0.999322363164561
MOEA/D,F4,2,10D,DeltaP,0.782935902549682
MOEA/D,F4,2,15D,DeltaP,0.854885506965736
MOEA/D,F4,3,3D,DeltaP,6.92741310981404e-07
MOEA/D,F4,3,5D,DeltaP,0
MOEA/D,F4,3,7D,DeltaP,0.693689357655105
MOEA/D,F4,3,10D,DeltaP,0.782971075309846
MOEA/D,F4,3,15D,DeltaP,0.876412807243584
MOEA/D,F4,4,3D,DeltaP,0.999995686874131
MOEA/D,F4,4,5D,DeltaP,0.42126318341611
MOEA/D,F4,4,7D,DeltaP,0.693723718932308
MOEA/D,F4,4,10D,DeltaP,0.7838328864354
MOEA/D,F4,4,15D,DeltaP,0.876934309502957
MOEA/D,F4,5,3D,DeltaP,1
MOEA/D,F4,5,5D,DeltaP,0.985416826403989
MOEA/D,F4,5,7D,DeltaP,0.784619949473626
MOEA/D,F4,5,10D,DeltaP,0.836840069792717
MOEA/D,F4,5,15D,DeltaP,0.829300612276543
MOEA/D,F4,6,3D,DeltaP,8.3481519141948e-08
MOEA/D,F4,6,5D,DeltaP,0.421263271081408
MOEA/D,F4,6,7D,DeltaP,0.885924294061742
MOEA/D,F4,6,10D,DeltaP,0.89133075205152
MOEA/D,F4,6,15D,DeltaP,0.853880175070444
MOEA/D,F4,7,3D,DeltaP,0.999996920553405
MOEA/D,F4,7,5D,DeltaP,0.421261170698313
MOEA/D,F4,7,7D,DeltaP,0.7846018767841
MOEA/D,F4,7,10D,DeltaP,0.837108064311768
MOEA/D,F4,7,15D,DeltaP,0.854538700004542
MOEA/D,F4,8,3D,DeltaP,0.999998682064843
MOEA/D,F4,8,5D,DeltaP,0.421261286991794
MOEA/D,F4,8,7D,DeltaP,0.88592475325564
MOEA/D,F4,8,10D,DeltaP,0.836903901171742
MOEA/D,F4,8,15D,DeltaP,0.875834114616396
MOEA/D,F4,9,3D,DeltaP,0.999998654995557
MOEA/D,F4,9,5D,DeltaP,1.17745629713006e-06
MOEA/D,F4,9,7D,DeltaP,0.886136643748239
MOEA/D,F4,9,10D,DeltaP,0.782879884642388
MOEA/D,F4,9,15D,DeltaP,0.80198395213757
MOEA/D,F4,10,3D,DeltaP,0.999997775707581
MOEA/D,F4,10,5D,DeltaP,0.985408568192875
MOEA/D,F4,10,7D,DeltaP,0.999390512606835
MOEA/D,F4,10,10D,DeltaP,0.783076466286607
MOEA/D,F4,10,15D,DeltaP,0.854740771966742
MOEA/D,F4,11,3D,DeltaP,0.99999645771613
MOEA/D,F4,11,5D,DeltaP,0.421234625242199
MOEA/D,F4,11,7D,DeltaP,0.784631547235752
MOEA/D,F4,11,10D,DeltaP,0.891006984466443
MOEA/D,F4,11,15D,DeltaP,0.854787409169608
MOEA/D,F4,12,3D,DeltaP,5.17187805360031e-07
MOEA/D,F4,12,5D,DeltaP,0.421264683940698
MOEA/D,F4,12,7D,DeltaP,0.784634617811719
MOEA/D,F4,12,10D,DeltaP,0.836830739401122
MOEA/D,F4,12,15D,DeltaP,0.87625994692305
MOEA/D,F4,13,3D,DeltaP,0.999991996064968
MOEA/D,F4,13,5D,DeltaP,0.42102276412245
